time,x,Density,Sulfur
17.5,50,880,1.2
17.5,55,880,1.2
17.5,60,880,1.2
17.5,65,880,1.2
17.5,70,880,1.2
17.5,75,880,1.2
17.5,80,880,1.2
17.5,85,880,1.2
17.5,90,880,1.2
17.5,95,880,1.2
17.5,100,880,1.2
18,0,880,1.2
18,5,880,1.2
18,10,880,1.2
18,15,880,1.2
18,20,880,1.2
18,25,880,1.2
18,30,880,1.2
18,35,880,1.2
18,40,880,1.2
18,45,880,1.2
18,50,880,1.2
18,55,880,1.2
18,60,880,1.2
18,65,880,1.2
18,70,880,1.2
18,75,880,1.2
18,80,880,1.2
18,85,880,1.2
18,90,880,1.2
18,95,880,1.2
18,100,880,1.2
18.5,0,880,1.2
18.5,5,880,1.2
18.5,10,880,1.2
18.5,15,880,1.2
18.5,20,880,1.2
18.5,25,880,1.2
18.5,30,880,1.2
18.5,35,880,1.2
18.5,40,880,1.2
18.5,45,880,1.2
18.5,50,880,1.2
18.5,55,880,1.2
18.5,60,880,1.2
18.5,65,880,1.2
18.5,70,880,1.2
18.5,75,880,1.2
18.5,80,880,1.2
18.5,85,880,1.2
18.5,90,880,1.2
18.5,95,880,1.2
18.5,100,880,1.2
19,0,880,1.2
19,5,880,1.2
19,10,880,1.2
19,15,880,1.2
19,20,880,1.2
19,25,880,1.2
19,30,880,1.2
19,35,880,1.2
19,40,880,1.2
19,45,880,1.2
19,50,880,1.2
19,55,880,1.2
19,60,880,1.2
19,65,880,1.2
19,70,880,1.2
19,75,880,1.2
19,80,880,1.2
19,85,880,1.2
19,90,880,1.2
19,95,880,1.2
19,100,880,1.2
19.5,0,880,1.2
19.5,5,880,1.2
19.5,10,880,1.2
19.5,15,880,1.2
19.5,20,880,1.2
19.5,25,880,1.2
19.5,30,880,1.2
19.5,35,880,1.2
19.5,40,880,1.2
19.5,45,880,1.2
19.5,50,880,1.2
19.5,55,880,1.2
19.5,60,880,1.2
19.5,65,880,1.2
19.5,70,880,1.2
19.5,75,880,1.2
19.5,80,880,1.2
19.5,85,880,1.2
19.5,90,880,1.2
19.5,95,880,1.2
19.5,100,880,1.2
20,0,880,1.2
20,5,880,1.2
20,10,880,1.2
20,15,880,1.2
20,20,880,1.2
20,25,880,1.2
20,30,880,1.2
20,35,880,1.2
20,40,880,1.2
20,45,880,1.2
20,50,880,1.2
20,55,880,1.2
20,60,880,1.2
20,65,880,1.2
20,70,880,1.2
20,75,880,1.2
20,80,880,1.2
20,85,880,1.2
20,90,880,1.2
20,95,880,1.2
20,100,880,1.2
20.5,0,880,1.2
20.5,5,880,1.2
20.5,10,880,1.2
20.5,15,880,1.2
